City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,freetown,8.484,-13.2299,299.99,83,75,4.63,SL,1722894809
205,longyearbyen,78.2186,15.6401,281.06,93,40,4.63,SJ,1722894810
206,kargat,55.1956,80.2811,286.69,92,17,3.04,RU,1722894812
207,shepetivka,50.1855,27.0637,289.09,94,100,2.4,UA,1722894813
208,santa cruz,-17.8,-63.1667,301.18,65,75,8.23,BO,1722894347
209,kyshtovka,56.555,76.6271,287.66,95,96,2.49,RU,1722894815
210,wellington,-41.2866,174.7756,281.96,89,20,5.66,NZ,1722894713
211,severo-yeniseyskiy,60.3725,93.0408,286.67,89,100,1.74,RU,1722894817
212,baise city,23.8997,106.6133,297.79,95,7,0.49,CN,1722894818
213,uturoa,-16.7333,-151.4333,298.96,76,51,7.05,PF,1722894819
214,la sarre,48.8002,-79.1996,292.62,49,73,3.72,CA,1722894820
215,lazaro cardenas,17.9583,-102.2,302.24,73,100,3.14,MX,1722894821
216,sumbe,-11.2061,13.8437,293.07,91,45,1.93,AO,1722894822
217,talara,-4.5772,-81.2719,295.57,73,0,7.2,PE,1722894823
218,novomyrhorod,48.7811,31.642,291.62,51,99,2.82,UA,1722894824
219,turkmenbasy,40.0222,52.9552,298.58,73,0,2.06,TM,1722894826
220,kapuskasing,49.4169,-82.4331,293.2,49,75,7.2,CA,1722894827
221,selimpasa,41.0558,28.379,297.31,70,6,3.63,TR,1722894828
222,opuwo,-18.0607,13.84,291.02,30,0,1.82,NA,1722894829
223,chonchi,-42.6128,-73.8092,281.71,99,100,0.38,CL,1722894830
224,churapcha,62.0025,132.4325,283.28,91,100,5.58,RU,1722894831
225,west island,-12.1568,96.8225,298.14,78,23,4.12,CC,1722894832
226,melfi,40.9965,15.6514,296.54,60,7,1.41,IT,1722894833
227,nar'yan-mar,67.6713,53.087,277.93,87,6,4.39,RU,1722894834
228,korla,41.7597,86.1469,301.69,34,90,2.05,CN,1722894835
229,salekhard,66.53,66.6019,278.39,72,20,5.22,RU,1722894836
230,merizo village,13.2658,144.6691,300.46,94,99,2.56,GU,1722894837
231,nelson bay,-32.7167,152.15,284.87,96,75,0.45,AU,1722894838
232,bay roberts,47.5999,-53.2648,296.01,96,100,4.73,CA,1722894839
233,jawhar,2.7809,45.5005,296.04,79,3,5.88,SO,1722894841
